City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Bambous Virieux,MU,-20.34,57.76,77.25,69,20,8.05,few clouds
83,Meulaboh,ID,4.14,96.13,76.78,88,91,2.15,overcast clouds
84,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,101.71,20,3,4.72,clear sky
85,Puerto Ayora,EC,-0.74,-90.35,76.96,94,87,4.0,overcast clouds
86,Padang,ID,-0.95,100.35,75.25,91,100,4.61,light rain
87,Mahebourg,MU,-20.41,57.7,77.29,69,20,8.05,few clouds
88,Korhogo,CI,9.45,-5.63,94.21,25,56,3.56,broken clouds
89,Mushie,CD,-3.02,16.9,76.28,90,75,4.36,light rain
90,Chokurdakh,RU,70.63,147.92,-8.16,99,100,4.99,overcast clouds
91,Chuy,UY,-33.7,-53.46,81.09,59,71,14.12,broken clouds
92,Bowen,AU,-20.02,148.23,74.01,93,100,6.38,light rain
93,Kurilsk,RU,45.23,147.88,29.59,62,100,24.34,overcast clouds
94,Kodiak,US,57.79,-152.41,17.11,73,0,3.44,clear sky
95,Hermanus,ZA,-34.42,19.23,72.81,75,16,7.92,few clouds
96,Kemi,FI,65.86,24.82,28.17,100,100,4.61,light snow
97,Zhanakorgan,KZ,43.91,67.25,30.87,66,100,12.71,overcast clouds
98,Kozhevnikovo,RU,56.26,83.97,-13.92,97,9,0.92,clear sky
99,Dingle,PH,11.0,122.67,75.6,93,85,7.67,light rain
100,Tocopilla,CL,-22.09,-70.2,68.45,72,9,9.04,clear sky
101,Pafos,CY,34.77,32.42,67.78,73,75,4.61,broken clouds
102,Saint-Philippe,RE,-21.36,55.77,78.39,76,71,8.61,broken clouds
103,Poykovskiy,RU,61.23,73.33,-1.91,84,0,4.47,clear sky
104,Shitkino,RU,56.37,98.35,-3.44,91,99,11.43,overcast clouds
105,College,US,64.86,-147.8,2.21,77,100,3.44,overcast clouds
106,Khatanga,RU,71.97,102.5,-39.91,100,33,1.21,scattered clouds
107,Liaqatabad,PK,31.56,74.3,66.24,59,0,0.0,smoke
108,Tuatapere,NZ,-46.13,167.68,42.58,81,41,6.11,scattered clouds
109,Verkhoyansk,RU,67.54,133.38,-23.53,100,100,2.01,overcast clouds
110,Pisco,PE,-13.7,-76.22,73.45,68,20,8.05,few clouds
111,Carnarvon,AU,-24.87,113.63,70.29,81,0,16.15,clear sky
112,Olafsvik,IS,64.89,-23.71,45.7,96,100,20.07,light rain
113,Yellowknife,CA,62.46,-114.35,-21.44,76,40,4.61,scattered clouds
114,Hilo,US,19.73,-155.09,80.28,88,100,3.44,overcast clouds
115,Port Lincoln,AU,-34.73,135.87,57.25,82,64,14.63,broken clouds
116,Pangnirtung,CA,66.15,-65.71,-5.8,59,20,23.02,few clouds
117,San Jose,US,37.34,-121.9,50.86,80,0,1.01,clear sky
118,Elizabeth City,US,36.29,-76.25,62.02,96,100,6.91,moderate rain
119,Beringovskiy,RU,63.05,179.32,25.14,97,74,5.88,broken clouds
120,Nabire,ID,-3.37,135.48,76.28,91,100,4.07,overcast clouds
121,Hengshui,CN,37.73,115.7,20.66,20,44,6.67,scattered clouds
122,Faanui,PF,-16.48,-151.75,79.86,75,4,13.67,clear sky
123,Hilotongan,PH,11.14,123.64,81.81,81,100,16.73,heavy intensity rain
124,Luderitz,NA,-26.65,15.16,68.79,66,3,16.96,clear sky
125,Fairbanks,US,64.84,-147.72,2.23,78,100,3.44,overcast clouds
126,Port Elizabeth,ZA,-33.92,25.57,78.1,73,75,23.02,broken clouds
127,Camabatela,AO,-8.19,15.38,67.59,95,60,3.89,light rain
128,Saint-Augustin,CA,51.23,-58.65,15.13,77,18,6.87,few clouds
129,Awjilah,LY,29.11,21.29,66.6,40,2,10.63,clear sky
130,Jamestown,US,42.1,-79.24,47.05,71,100,24.16,heavy intensity rain
131,Atuona,PF,-9.8,-139.03,77.56,76,42,16.53,light rain
132,Ojinaga,MX,29.57,-104.42,56.57,44,0,16.11,clear sky
133,Bengkulu,ID,-3.8,102.27,76.71,87,99,5.17,overcast clouds
134,Vila Franca Do Campo,PT,37.72,-25.43,66.2,70,70,3.06,broken clouds
135,Airai,TL,-8.93,125.41,60.67,92,100,0.4,overcast clouds
136,Ponta Do Sol,PT,32.67,-17.1,74.01,63,7,1.01,clear sky
137,Jesup,US,31.61,-81.89,66.13,88,100,5.75,heavy intensity rain
138,Port Macquarie,AU,-31.43,152.92,59.9,70,100,1.28,overcast clouds
139,Cape Coast,GH,5.11,-1.25,82.81,72,82,9.08,broken clouds
140,Cherskiy,RU,68.75,161.3,-8.03,89,100,2.82,overcast clouds
141,Port Blair,IN,11.67,92.75,82.44,83,40,6.91,mist
142,San Rafael,AR,-34.62,-68.33,81.91,18,4,14.67,clear sky
143,Lorengau,PG,-2.02,147.27,81.45,80,50,6.96,scattered clouds
144,Iqaluit,CA,63.75,-68.51,-20.31,75,20,6.91,few clouds
145,Guiyang,CN,26.58,106.72,32.49,93,100,8.95,overcast clouds
146,Jalu,LY,29.03,21.55,67.66,38,3,8.28,clear sky
147,Sosnovo-Ozerskoye,RU,52.52,111.54,-8.09,82,38,12.3,scattered clouds
148,Puerto Cabezas,NI,14.04,-83.39,84.16,79,75,11.5,broken clouds
149,Comodoro Rivadavia,AR,-45.87,-67.5,67.86,17,0,16.11,clear sky
150,Kamenka,RU,51.32,42.77,23.94,54,12,7.16,few clouds
151,Diego De Almagro,CL,-26.37,-70.05,75.04,29,0,10.38,clear sky
152,Paamiut,GL,61.99,-49.67,26.56,85,100,46.42,overcast clouds
153,Mar Del Plata,AR,-38.0,-57.56,72.82,85,75,11.5,light rain
154,Ambon,ID,-3.7,128.18,78.24,15,40,5.75,light rain
155,Saint George,US,37.1,-113.58,27.19,54,0,0.0,clear sky
156,Coquimbo,CL,-29.95,-71.34,65.93,77,100,10.36,overcast clouds
157,Ribeira Grande,PT,38.52,-28.7,64.8,68,40,4.61,scattered clouds
158,Svetlaya,RU,46.54,138.33,1.27,72,31,11.65,scattered clouds
159,Tuktoyaktuk,CA,69.45,-133.04,-2.2,84,100,8.05,light snow
160,Kamaishi,JP,39.27,141.88,36.66,61,64,5.66,broken clouds
161,Moba,CN,33.23,105.02,21.49,40,74,4.61,broken clouds
162,Evensk,RU,61.95,159.23,23.81,95,100,13.4,snow
163,Honiara,SB,-9.43,159.95,77.83,88,100,1.57,overcast clouds
164,Charters Towers,AU,-20.1,146.27,67.23,88,100,15.32,moderate rain
165,Saint-Denis,FR,48.92,2.33,45.99,88,100,9.22,overcast clouds
166,Haines Junction,CA,60.75,-137.51,-29.25,75,57,1.14,broken clouds
167,Bafoulabe,ML,13.81,-10.83,92.98,15,92,4.25,overcast clouds
168,Kadirli,TR,37.37,36.1,60.96,67,100,3.09,overcast clouds
169,Sretensk,RU,52.25,117.71,-31.94,99,47,1.92,scattered clouds
170,Lompoc,US,34.64,-120.46,56.79,96,100,6.91,overcast clouds
171,Lazurne,UA,46.08,32.53,42.91,70,95,19.57,overcast clouds
172,Berlevag,NO,70.86,29.09,35.6,75,100,12.66,overcast clouds
173,La Asuncion,VE,11.03,-63.86,76.73,100,8,8.05,clear sky
174,Ostrovnoy,RU,68.05,39.51,26.28,95,90,12.57,overcast clouds
175,Kruisfontein,ZA,-34.0,24.73,75.88,52,42,8.95,light rain
176,Merauke,ID,-8.47,140.33,80.46,82,100,13.22,heavy intensity rain
177,Kineta,GR,37.97,23.22,58.6,86,100,3.09,overcast clouds
178,Rorvik,NO,64.86,11.24,37.51,65,100,10.36,overcast clouds
179,Panzhihua,CN,26.59,101.71,54.52,71,0,1.57,clear sky
180,Anisoc,GQ,1.87,10.77,76.59,88,79,1.23,moderate rain
181,Ihosy,MG,-22.4,46.12,74.37,57,92,7.99,overcast clouds
182,Sinnamary,GF,5.38,-52.95,79.75,84,37,8.77,scattered clouds
183,Bredasdorp,ZA,-34.53,20.04,73.89,52,51,13.82,broken clouds
184,Anju,KP,39.62,125.66,17.06,31,0,4.43,clear sky
185,Lethem,GY,3.38,-59.8,87.03,56,88,9.73,overcast clouds
186,Aurillac,FR,44.92,2.45,43.68,72,20,2.3,few clouds
187,Avarua,CK,-21.21,-159.78,75.25,83,20,8.05,few clouds
188,Provideniya,RU,64.38,-173.3,28.67,97,100,8.28,overcast clouds
189,Souillac,MU,-20.52,57.52,77.38,69,20,8.05,few clouds
190,Teluk Nibung,ID,3.0,99.82,77.29,88,98,4.72,light rain
191,Inuvik,CA,68.35,-133.72,0.36,84,100,3.44,light snow
192,Eha Amufu,NG,6.66,7.76,93.13,22,87,3.74,overcast clouds
193,Agirish,RU,61.92,63.02,4.51,96,100,2.53,overcast clouds
194,Tecoanapa,MX,16.52,-98.75,82.81,65,92,3.44,overcast clouds
195,Hasaki,JP,35.73,140.83,55.8,75,100,29.12,overcast clouds
196,Emmett,US,43.87,-116.5,37.69,91,100,8.99,overcast clouds
197,Nanortalik,GL,60.14,-45.24,29.71,84,63,15.7,broken clouds
198,Marsh Harbour,BS,26.54,-77.06,78.55,71,68,12.08,broken clouds
199,Guerrero Negro,MX,27.98,-114.06,61.52,72,6,8.21,clear sky
200,Nanakuli,US,21.39,-158.15,73.42,63,0,4.61,clear sky
201,Trelew,AR,-43.25,-65.31,74.91,29,31,12.59,scattered clouds
202,Aguimes,ES,27.91,-15.45,71.65,56,20,20.71,few clouds
203,Tres Arroyos,AR,-38.37,-60.28,71.53,47,100,12.97,overcast clouds
204,Guangyuan,CN,32.44,105.82,31.23,84,93,5.84,overcast clouds
205,Saint Anthony,US,45.02,-93.22,17.55,71,100,21.85,overcast clouds
206,Rio Gallegos,AR,-51.62,-69.22,64.45,22,20,31.07,few clouds
207,Tanda,IN,26.55,82.65,65.64,50,26,4.9,scattered clouds
208,Piquete,BR,-22.61,-45.18,81.05,58,61,3.49,broken clouds
209,Alexandria,EG,31.22,29.96,71.56,53,40,5.75,scattered clouds
210,Saldanha,ZA,-33.01,17.94,77.05,79,36,11.9,scattered clouds
211,Valparaiso,CL,-33.04,-71.63,68.0,75,75,9.22,broken clouds
212,High Level,CA,58.52,-117.14,-16.49,76,20,9.22,few clouds
213,Dunedin,NZ,-45.87,170.5,47.8,69,12,8.99,few clouds
214,Ambilobe,MG,-13.2,49.05,76.48,83,51,3.44,moderate rain
215,Kavaratti,IN,10.57,72.64,82.11,69,23,2.06,few clouds
216,Dong Hoi,VN,17.48,106.6,77.14,89,25,7.78,scattered clouds
217,Burns Lake,CA,54.23,-125.75,-0.98,86,100,14.16,overcast clouds
218,Mehamn,NO,71.04,27.85,35.55,87,100,9.22,overcast clouds
219,Caravelas,BR,-17.71,-39.25,80.96,79,97,9.48,overcast clouds
220,Oum Hadjer,TD,13.3,19.7,87.64,16,50,7.43,scattered clouds
221,Ordzhonikidze,KZ,52.44,61.74,1.51,85,78,9.48,broken clouds
222,Kovernino,RU,57.13,43.81,7.86,97,27,0.89,scattered clouds
223,Kamina,CD,-8.74,24.99,69.46,86,99,2.17,light rain
224,Victoria,HK,22.29,114.16,67.24,80,100,17.0,overcast clouds
225,Hyeres,FR,43.12,6.12,59.65,64,0,3.44,clear sky
226,Torbay,CA,47.67,-52.73,25.39,76,75,13.8,broken clouds
227,Lishui,CN,28.46,119.91,36.45,93,100,3.76,overcast clouds
228,Prado,BR,-17.34,-39.22,81.28,85,99,5.99,overcast clouds
229,Buala,SB,-8.14,159.59,79.12,84,100,5.41,moderate rain
230,Kichera,RU,55.94,110.1,-8.27,99,100,2.51,light snow
231,Tshikapa,CD,-6.42,20.8,77.18,83,67,1.99,light rain
232,Guipavas,FR,48.44,-4.4,46.56,83,75,10.36,broken clouds
233,Mamallapuram,IN,12.63,80.17,80.65,84,3,12.84,clear sky
234,Wattegama,LK,6.8,81.48,73.6,94,82,3.29,broken clouds
235,Yarovoye,RU,52.93,78.58,-4.47,89,6,7.92,clear sky
236,Saint-Pierre,RE,-21.34,55.48,78.48,69,20,5.75,few clouds
237,Chaplynka,UA,46.37,33.54,40.06,67,81,15.12,broken clouds
238,Barentu,ER,15.11,37.59,82.63,20,0,10.4,clear sky
239,Teluknaga,ID,-6.1,106.64,80.64,88,20,4.61,few clouds
240,Cidreira,BR,-30.18,-50.21,72.75,86,76,17.29,broken clouds
241,Bella Union,UY,-30.28,-57.6,95.88,27,0,4.94,clear sky
242,Tandlianwala,PK,31.03,73.13,65.32,24,0,4.27,clear sky
243,Saskylakh,RU,71.92,114.08,-29.34,100,100,6.87,overcast clouds
244,Maragogi,BR,-9.01,-35.22,78.85,74,100,7.23,overcast clouds
245,Baker City,US,44.77,-117.83,30.6,84,100,19.57,overcast clouds
246,Sarankhola,BD,22.31,89.79,72.91,54,0,4.12,clear sky
247,Okha,RU,53.57,142.95,-0.89,91,89,21.9,overcast clouds
248,Weatherford,US,32.76,-97.8,38.3,55,0,8.01,clear sky
249,Te Anau,NZ,-45.42,167.72,39.4,91,12,1.68,few clouds
250,Bonavista,CA,48.65,-53.11,27.3,78,95,15.28,overcast clouds
251,Resistencia,AR,-27.46,-58.98,94.98,34,0,5.75,clear sky
252,Frederico Westphalen,BR,-27.36,-53.39,81.45,44,43,2.39,scattered clouds
253,Sioux Lookout,CA,50.1,-91.92,15.87,86,100,16.11,overcast clouds
254,Harper,LR,4.38,-7.72,82.26,72,97,6.58,light rain
255,Denizli,TR,37.84,29.07,57.87,70,100,0.74,overcast clouds
256,Akyab,MM,20.15,92.9,79.36,79,0,11.68,clear sky
257,Hendrina,ZA,-26.16,29.72,70.29,36,4,10.6,clear sky
258,Parsons,US,37.34,-95.26,29.98,38,0,10.8,clear sky
259,Evanston,US,42.04,-87.69,26.11,69,75,20.71,broken clouds
260,Hobyo,SO,5.35,48.53,80.42,71,39,14.25,scattered clouds
261,Wuning,CN,29.26,120.23,34.11,90,100,3.36,overcast clouds
262,Lufilufi,WS,-13.87,-171.6,73.18,76,83,3.13,broken clouds
263,Cuajinicuilapa,MX,16.47,-98.42,84.56,61,72,2.37,broken clouds
264,Arona,ES,28.1,-16.68,66.38,58,75,17.27,broken clouds
265,Cotacachi,EC,0.3,-78.27,65.75,59,78,3.6,broken clouds
266,Sambava,MG,-14.27,50.17,75.72,84,6,2.73,clear sky
267,Moranbah,AU,-22.0,148.05,63.99,91,100,18.97,overcast clouds
268,Heinola,FI,61.21,26.04,28.0,98,99,2.73,overcast clouds
269,Viransehir,TR,37.24,39.76,53.26,86,97,12.71,overcast clouds
270,Pangai,TO,-19.8,-174.35,79.27,76,66,9.33,broken clouds
271,Shiyan,CN,32.65,110.78,30.16,84,100,1.34,overcast clouds
272,Ucluelet,CA,48.93,-125.55,36.09,79,99,17.96,overcast clouds
273,Mareeba,AU,-17.0,145.43,72.45,98,100,3.36,light rain
274,Palmer,US,42.16,-72.33,50.86,81,100,3.0,overcast clouds
275,Severo-Kurilsk,RU,50.68,156.12,32.56,80,85,13.65,light snow
276,Quelimane,MZ,-17.88,36.89,76.95,69,75,8.05,broken clouds
277,Chumikan,RU,54.72,135.32,-5.3,73,100,23.33,overcast clouds
278,Maxixe,MZ,-23.86,35.35,80.42,50,40,15.01,scattered clouds
279,Inhambane,MZ,-23.86,35.38,80.58,50,40,15.01,scattered clouds
280,Upernavik,GL,72.79,-56.15,6.71,91,100,16.87,light snow
281,Poum,NC,-20.23,164.02,80.85,83,70,11.86,broken clouds
282,Tigil,RU,57.8,158.67,23.67,97,100,4.38,overcast clouds
283,Westport,US,41.14,-73.36,55.74,90,100,7.0,overcast clouds
284,Kupang,ID,-10.17,123.58,77.58,94,40,0.0,scattered clouds
285,Arraial Do Cabo,BR,-22.97,-42.03,78.66,83,75,23.02,broken clouds
286,Hecelchakan,MX,20.17,-90.13,84.18,60,100,6.42,overcast clouds
287,Oksfjord,NO,70.24,22.35,37.58,90,93,2.95,overcast clouds
288,Taltal,CL,-25.4,-70.48,65.79,73,46,5.66,scattered clouds
289,Taunggyi,MM,20.78,97.03,60.73,93,9,0.67,clear sky
290,Aksarka,RU,66.56,67.8,-7.56,97,16,2.35,few clouds
291,Sirjan,IR,29.45,55.68,57.81,26,100,6.38,overcast clouds
292,Saint Cloud,US,45.56,-94.16,15.8,70,75,23.02,broken clouds
293,Auki,SB,-8.77,160.7,76.62,88,100,3.06,overcast clouds
294,Aberdeen,GB,57.14,-2.1,43.48,94,100,12.66,overcast clouds
295,East London,ZA,-33.02,27.91,70.74,83,20,23.02,few clouds
296,Linxia,CN,35.6,103.21,18.09,36,11,2.57,few clouds
297,Leningradskiy,RU,69.38,178.42,0.5,96,81,6.73,broken clouds
298,Kayes,ML,14.0,-11.0,91.74,15,79,5.64,broken clouds
299,Kelso,US,46.15,-122.91,45.46,97,100,4.0,overcast clouds
300,Kapit,MY,2.02,112.93,73.17,99,100,1.25,overcast clouds
301,Cayenne,GF,4.93,-52.33,86.04,66,40,12.66,scattered clouds
302,Wajir,KE,1.75,40.06,93.16,29,20,0.0,few clouds
303,Beyneu,KZ,45.32,55.2,24.8,33,0,8.55,clear sky
304,Frontera,MX,26.93,-101.45,58.32,60,1,5.99,clear sky
305,Sakaiminato,JP,35.55,133.23,42.78,75,75,8.05,broken clouds
306,Harnosand,SE,62.63,17.94,37.0,83,100,2.66,overcast clouds
307,Guiratinga,BR,-16.35,-53.76,99.55,20,8,9.37,clear sky
308,Pevek,RU,69.7,170.31,-10.08,97,40,5.57,scattered clouds
309,Narrabri,AU,-30.32,149.78,64.53,90,100,2.21,light rain
310,Seoul,KR,37.57,126.98,22.44,52,0,11.5,clear sky
311,Chapais,CA,49.78,-74.85,22.78,92,100,19.98,light snow
312,Pandan,PH,14.05,124.17,80.13,87,92,15.03,overcast clouds
313,Shingu,JP,33.73,135.98,46.54,73,61,6.93,broken clouds
314,Krasnoselkup,RU,65.7,82.47,-7.31,100,90,8.14,overcast clouds
315,Miri,MY,4.41,114.01,80.74,83,40,5.75,scattered clouds
316,Rawson,AR,-43.3,-65.1,68.63,45,38,12.28,light rain
