City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
436,Yulara,AU,71.87,clear sky,-25.24,130.99,Outback Pioneer Hotel & Lodge
437,Marawi,PH,67.71,overcast clouds,8.0,124.29,Marawi Resort Hotel
442,Bure,ET,64.0,broken clouds,10.7,37.07,belay zeleke hotel
444,Bako,ET,71.15,broken clouds,5.78,36.57,Eyob Pension & Camp Site
452,Wote,KE,63.99,light rain,-1.78,37.63,Kelvin hotel;Kelvin Hotel
460,Esperance,AU,65.46,broken clouds,-33.87,121.9,Best Western
461,Batemans Bay,AU,63.1,overcast clouds,-35.72,150.18,Esplanade Hotel
463,Naze,JP,58.12,light rain,28.37,129.48,ビジネス旅館畠山
464,Gold Coast,AU,64.9,overcast clouds,-28.0,153.43,The Sands
465,Coihaique,CL,55.35,few clouds,-45.58,-72.07,Hospedaje Bosque Patagón
468,Carbonia,IT,57.85,clear sky,39.17,8.52,Lu' Hotel
486,Hualmay,PE,71.62,overcast clouds,-11.1,-77.61,Hotel Centenario
500,Olinda,BR,74.93,overcast clouds,-8.01,-34.86,Fidji Motel
502,Buta,CD,74.62,overcast clouds,2.79,24.73,Hôtel Rubi
503,Dubbo,AU,62.73,broken clouds,-32.25,148.62,Ibis Budget
504,Antibes,FR,56.68,few clouds,43.56,7.13,Vogue
514,Callaway,US,68.05,heavy intensity rain,30.15,-85.57,Holiday Inn Express & Suites Panama City-Tyndall
515,San Isidro,PE,71.19,broken clouds,-12.12,-77.05,Soul Mate
520,Clifton,US,55.42,moderate rain,40.86,-74.16,La Quinta Inn & Suites Clifton - Rutherford
521,Irbil,IQ,64.22,thunderstorm,36.19,44.01,Samira Miss Hotel
540,Dargaville,NZ,58.77,overcast clouds,-35.93,173.88,Central Hotel
542,Isiro,CD,69.89,light rain,2.77,27.62,Hôtel Mangreth
553,Talcahuano,CL,62.28,scattered clouds,-36.72,-73.12,Club Recreativo Armada de Chile
555,Gimbi,ET,60.69,few clouds,9.17,35.83,Grand hotel
563,Kainantu,PG,58.68,overcast clouds,-6.29,145.87,Kainantu Lodge
566,Champasak,LA,73.83,scattered clouds,14.75,106.0,Kiat Ngong Wetland
567,Paralimni,CY,67.12,broken clouds,35.04,33.98,Apollon Court
568,Corpus Christi,US,57.22,scattered clouds,27.8,-97.4,Hotel Corpus Christi Bayfront
569,Yazman,PK,68.23,clear sky,29.12,71.74,Yazman Banquet Marriage Hall
571,Mackay,AU,68.68,light rain,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
586,Mlowo,TZ,67.78,light rain,-9.0,32.98,EAST AFRICA LODGE
588,Broken Hill,AU,65.17,clear sky,-31.95,141.43,Ibis Styles
